Good morning ,Good Morning 
Hi There,"Hello, how is it going"
How are you,I’m fine
Good Eveninig,Good Eveninig
Good Afternoon,Good Afternoon
Hello,"Hi, how are you"
How is it going,It’s going great
I’m fine,Thats good to hear
I’m good,Thats good to hear
I’m doing great,Thats good to hear
Are you real,I’m as real as you’d like
change my name,change name
ask a question,ask question
I’d like to leave,exit
i’m done,exit
that’s enough,exit
i’d like to talk,have a chat
i’d love to chat,have a chat
i want to talk,have a chat
exit,exit
have a chat,have a chat
what’s my name,show name
which name do you know me by,show name
remind me of my name,show name
